index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,image
1229,Strong Teeth Anticavity Toothpaste With Amino Shakti - Saver Pack,Beauty & Hygiene,Oral Care,Colgate,344.96,434,Toothpaste,4.3,"Your trusted Colgate Strong Teeth Toothpaste now comes with Amino Shakti, *a unique formula containing Arginine with an insoluble source of calcium and fluoride. This new, best ever Colgate STRONG Teeth formula (^vs previous formula), with Amino Shakti, provides 4X strengthening power** by providing protection from a mineral loss against acid attack vs. an ordinary fluoride toothpaste. The toothpaste helps add natural calcium ~from saliva through fluoride action and strengthens teeth from within.This anticavity toothpaste also provides cleaner teeth and fresher breath with regular use, when used as directed as a part of your daily oral care hygiene and regular professional care routine, as directed by a dentist. Colgate, India__ No.1 Toothpaste (#Based on market share data), is always 100% vegetarian toothpaste.",
1230,Vanilla-Infused Honey,Gourmet & World Food,"Sauces, Spreads & Dips",Honey Twigs,102,120,Honey & Maple Syrup,3.4,"Honey Twigs is made with the finest natural Vanilla powder from Kerala, infused with our Premium, Unadultered and Pure Honey gives it as exquisite flavor, making it a perfect addition to your desserts, beverages or creating a healthy addiction. 

Measured as a teaspoon, this is your perfect mess-free sweetener, replacing table sugar for everyday use. #HiHoneyByeSugar 

If you are looking to boost your immunity, look no further!  
Honey Twigs is also a great companion if you want to manage your weight more effectively and improve your digestion. Recent studies show that people who consume honey with warm water every morning, showed significant improvement in stamina, digestion, cholesterol level & waist/hip size, helping them live healthier lifestyles. This superfood has high fructose content, making it a well-known cure for colds and mouth, throat or bronchial irritations and infections too. 
At Honey Twigs our mission is to help you live healthier lifestyles by making small changes in every day eating habits.",
1231,Kapadwanj Bohra Kaari Spice Blend,Gourmet & World Food,Cooking & Baking Needs,Cafe Junyali,395,395,"Curry Paste, Coconut Milk",,"Bohra Muslims trace their heritage to the Fatimid Caliphate, Bohra cuisine is its best-kept secret. Gulbanu Fatehi shares her age-old kaari recipe pounded in her haveli in kapadvanj Gujarat. Kaari, is a traditional Bohra dish. It is coconut and cashew-based curry that requires a special masala called Kaari Masala.",
1232,"Cheese - Organic, Cheddar, Pepper","Bakery, Cakes & Dairy",Dairy,Akshayakalpa,239.7,282,Cheese,3.1,"Cheddar cheese is the most popular type of cheese in the UK. Akshayakalpa Pepper Cheddar is handcrafted, organic, and an absolute delight for cheese lovers. No preservatives, artificial additives or flavouring, and emulsifiers are used in this mild cheddar cheese.Made using 100% pure and organic cow milk, our Artisan Organic Cheddar proves to be a nutritious addition to your daily meals. ? Unlike industrial methods where artificial emulsifiers and preservatives are used, our cheese is preserved using 100% natural Himalayan Pink Salt for longer life. ? The milk used to make this delectable cheese is produced by our well-nourished, stress-free and healthy cows. Our cattle are fed pesticide-free fodder and allowed to roam freely in open paddock areas which have an abundance of organic pasture and clean drinking water. ? Made using the artisanal method, we add microbial rennet to produce fresh cheddar instead of animal rennet. The cheese blocks are aged for 3 months in ripening rooms where extensive checks are conducted every day to keep them mould-free.",
1233,Signature Gold Black Musk & Cedar Wood Perfume,Beauty & Hygiene,Fragrances & Deos,Axe,315,450,Perfume,4,"Make your presence felt extra-ordinary with Axe's Signature Gold Black Musk & Cedar Wood Perfume. This warm, woody fragrance, with the traditional scent of black musk and distinctive cedarwood, is symbolic of your days gone by and adventures yet to come. The kind of fragrance to don Ray-Bans and rock a scruffy beard. Just spray it on your pulse points; the heat generated by your pulse intensifies the fragrance and amplifies its projection. With this perfume, you__l make an impression that lingers on. Catch attention and arouse curiosity in the moments that count.
The world__ #1 Male Deodorant brand Axe, presents __xe Signature Gold_ Ultra-Premium Perfumes, a range of fine fragrances that are packaged in beautiful and stylish matte glass bottles. Designed by the world__ leading perfumers, each Axe Signature Gold fragrance is specially crafted with some of the world__ most exotic and refined ingredients to bring out what__ unique in you. The Axe Signature Gold range of ultra-premium perfumes is also a perfect gift for your loved ones.",
1234,Charm Avatar Deodorant & Body Spray Perfume For Men,Beauty & Hygiene,Men's Grooming,Set Wet,129,199,Men's Deodorants,4,"Switch on your charm and bring Lovistaan alive every morning! You know what they want. You are not afraid to make the first move. You are 100% compatible with every sun sign. Feel like the real love guru with Set Wet Charm Avatar men__ deodorant. This deo for men has an attractive musky fragrance with a whiff of lavender, accents of cardamom and a trace of peppermint. Don your Charm Avatar and make this Set Wet deodorant spray perfume your plus one.
Set Wet Avatar range of deodorants for men is a burst of colour, energy, and passion that comes with the prime of youth. It is a collection sunny, sporty and charming fragrance for men that are perfectly suited to deliver to your varying avatars. Set Wet Avatar range of deo for men prevents body odour caused by the bacterial breakdown of perspiration in armpits and other areas of the body. This range of deodorant spray for men are perfect for everyday use, and can be used on both body and clothes. Set Wet is a Brand with an agenda of making men feel great again by bringing back confidence in them.",
1235,Premium Panchphoran,Snacks & Branded Foods,Snacks & Namkeen,Delight Foods,160,160,Namkeen & Savoury Snacks,5,"Bengali Panch Phoran is a wonderful mix of 5 different spices - Cumin seeds, Fenugreek seeds, Ajwain, Fennel seeds & Mustard. All the five ingredients are mixed in an ideal proportion to replicate the authentic mix used from ages ago. Panch Phoran not help in digestion but also adds that extra flavourful & aromatic note to your food._Our Panch Phoran/Panchphoran is processed & packed in the most hygienic kitchen by experienced women from a Self Help Group in Bengal. Their knowledge & expertise in local recipes ensure that the product is authentic and superior in quality. Order this Bengali wonder today to make your meal healthy and flavourful.",
1236,Garlic & Chilly Toasty Cheese Slices,Gourmet & World Food,Dairy & Cheese,MOOZ,250,250,International Cheese,,"We at Mooz manufacture, Fresh Cheese, also commonly known as soft cheese. Our cheese is handcrafted by an Italian cheese maker, from milk directly procured from farmers. Mild, creamy flavour with mild garlic and chilly taste optimum for portion control. Great flavour that would be enhanced by heat. It is suitable for vegetarians._Farmer-owned - care in every step, from cow to you. Bring the taste of Italy into your own kitchen with our mild and milky mozzarella cheese. Makes a delicious after-school or midnight snack or adds the perfect melt to a meatball sandwich or panini.",
1237,Shaving Foam Lemon,Beauty & Hygiene,Men's Grooming,Vi-john,160,200,Shaving Care,,VI-John Shaving Foams Micro-Foam turns your daily shave into a luxurious experience. It creates a velvety lather that not only makes the razor glide like a dream on your skin but also softens your future beard growth. Enriched with anti-bacterial tea tree oil that nourishes and protects the skin. It soothes the skin from any skin irritation and removes blemishes for a healthy-looking and supple feeling skin.,
1238,Steel Milk Sauce Pan With Copper Bottom,"Kitchen, Garden & Pets",Steel Utensils,BB Home,349,599,Copper Utensils,,BB Home Saucepan is made from the finest steel and is ideal for heating milk and making tea due to its superior heat conductivity and lasting durability. This utensil can be used on a gas stove. It is made from high-quality steel having a copper-plated bottom.,
1239,India's No-1 Fluoride Free Toothpaste,Beauty & Hygiene,Oral Care,Dabur Meswak,98,100,Toothpaste,4.3,"If you want to start your day with something that is truly unique go grab a pack of Dabur Meswak today._ Dabur Meswak is made from pure extract of rare Miswak herb which grows slowly, resisting the brutal forces of nature amidst the sand dunes of Africa and South Asia. Even a small portion of this herb is capable of providing Complete Oral Care to you._ The ingredients of Miswak herb truly make Dabur Meswak unique. It has Resins that form a layer over the enamel - protecting against caries; Silica which removes stains; Alkaloids exerts a bactericidal effect and stimulatory action on gingival, Essential oils stimulates the flow of saliva which works as an antiseptic, Vitamin C helps in healing and repair of tissues, etc. The best part of this unique toothpaste is the amazing mouthfeel it leaves behind, which lasts the whole day._ What__ more, Dabur Meswak is also India__ No.1 non-fluoride toothpaste which makes it different from 80% of the regular toothpaste that is in the market today. Hence it a smarter option as excess fluoride can lead to dental fluorosis. So, choose well for your family. Choose Dabur Meswak today.",
1240,Cookies - Pista Badam,Snacks & Branded Foods,Biscuits & Cookies,Unibic,135,150,Cookies,4.2,"As nutritious as tasty, every bite of this cookie makes any moment an occasion to cherish. Every time a cookie lover reaches out for a real cookie, the only one that will meet the craving is the cookie with more. With more richness and more choices, Unibic Cookies are bursting with flavour and the abundance of more butter, chocolate, pista, cashew, and other rich ingredients. With over 30 variants including 7 sugar-free flavours, Unibic has something more for the entire family.",
1241,Active Sport Face Wash,Beauty & Hygiene,Men's Grooming,Himalaya Men,126,180,Face & Body,4.4,"India's first-ever face wash created through an exclusive association with Royal Challengers Bangalore, Himalaya Men Active Sport Face Wash, a soap-free, herbal formulation, specially designed for men with an active lifestyle. The unique 3 herb complex of Orange, Mint, and Red Ginseng removes oil, sweat, and dirt to re-energize, refresh, and brighten skin.",
1242,"Steel Lunch/Tiffin Box - Large, InsuLock","Kitchen, Garden & Pets",Steel Utensils,NanoNine,349,477,Steel Lunch Boxes,5,"NanoNine Stainless Steel double wall insulated lunch box is World's First Leak-proof PUF Insulated lunch box._The clip joint is designed to function like a hinge making it easy to attain leak-proof and airtight condition. The clips are Unbreakable and can be detached from the lid. Pull the air-vent lock to release the vacuum inside the steel tiffin, making it easy to open the lid._Carry your lunch in this world's first leak-proof insulated lunch box without any spillages or leakages. Lunch Pack is made with Rust Free and Corrosion Resistant Stainless Steel Double wall body and Insulated with PUF coating between the walls to prevent heat & nutrition loss. The airtight lid of the lunch box keeps food fresh for hours. Instantly transfer the Steamy Hot Content into the Tiffin to its full capacity, place the partition plate and lock the lid without delay. Do not open multiple times and store in Non AC Environment._NanoNine Insulock lunch box is the world's first Leak-Proof Stainless steel Insulated Tiffin. NanoNine Insulock is here to satisfy the need of every individual out there looking for a lunch box. From insulation to keeping food hot for hours to being leak-proof, it's got everything. It's suitable for all ages who need classy, but more importantly, an all in one lunch box._NanoNine takes pride in bringing Innovative Products that ""Makes Life Simpler"". _It provides you with a high-quality stainless steel insulated utensils, tableware and dinnerware. The product range includes casseroles, tiffin's, lunch boxes, Tea Pots, bottle set.",
1243,Sambal - Oelek,Gourmet & World Food,"Sauces, Spreads & Dips",Ongs,240,240,Thai & Asian Sauces,3.9,"Sambal is a hot paste, famous in South East Asia, and is made from a mixture of a variety of chilli peppers with some secondary ingredients. It can be served raw or cooked. This paste will impart a distinctive hot taste to any cuisine, especially meat, poultry, seafood, and vegetable.",
1244,Jasmine Age Defying Moisturiser,Beauty & Hygiene,Skin Care,INATUR ,455,650,Face Care,,"Inatur Jasmine Age Defying moisturiser comes with highly regenerative and skin healing properties. It is enriched with Jasmine oil absolute - that repairs skin and is anti-inflammatory, Shea Butter - that helps to rejuvenate skin, Hibiscus flower - that hydrates and moisturizes and Saffron oil - that brings radiance to the skin.",
1245,Wasabi Powder,Gourmet & World Food,Cooking & Baking Needs,Abbies,499,499,"Curry Paste, Coconut Milk",,"Made from Dehydrated Wasabi, this is a fantastic flavouring agent for nuts, dry fruits, soups or marinated vegetables. Made from Dehydrated Wasabi, this is a fantastic flavouring agent for nuts, dry fruits, soups or marinated vegetables. 100% Gluten Free, Glutamate Free Product.",
1246,Hemp Seed Oil Body Wash With Neem,Beauty & Hygiene,Bath & Hand Wash,ST. D'VENCE,399,399,Shower Gel & Body Wash,4.5,"Hemp Seed Oil and Aloe Vera, rich in polyunsaturated and essential fatty acids with skin nourishing and anti-inflammatory properties, come together in an indulgent body wash, with the goodness of 100% pure Hemp Seed Oil and Aloe Vera which relieves skin irritation and protects skin ageing. Infused with the antibacterial properties of pure Neem, this shower gel from ST D___VENCE tones and heals the skin. So, pamper your skin and awaken your senses every day with this soothing and refreshing shower gel.",
1247,Kesar Mango,Fruits & Vegetables,Fresh Fruits,Fresho,115,143.75,Mangoes,,"Gir Kesar, due to its cultivation in foothills of Girnar, is irresistibly sweet, juicy and delicious. Skin is yellow with a tinge of green on the outside.
The pulp is bright orange in colour. It is an early season variety. It is the queen of mangoes.

Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1176/mango-falooda/_ Calcium Carbide is not used in the ripening process of the mangoes.",
1248,"Crackers - Rock Salt & Pepper, Gluten Free",Gourmet & World Food,Chocolates & Biscuits,GoodDiet,159,225,Crackers & Digestive,,"Good Diet Crackers are gluten-free and they come in a variety of flavours. These deliciously crunchy and high-quality crackers are naturally sweetened and contain no dairy or added preservatives. You can relish them the way they are, paired with tea/coffee or you could add toppings and pair it with dips of your choice. They are a good source of protein and fibre. It also contains no cholesterol and trans fat.",
1249,Organic - Chia,Snacks & Branded Foods,Breakfast Cereals,Bagrrys,243.75,325,Granola & Cereal Bars,2.6,"Chia are nutritious and healthy seeds, with High Protein and Fibre. They are rich plant source of Omega-3. They are also called Runners food because of their power packed protein punch.",
1250,Beard Kit,Beauty & Hygiene,Men's Grooming,Uncle Tony,2475,3300,Combos & Gift Sets,,"The combination of a beard oil, a beard wash, mustache wax, all made in Provence, add to that a beard comb.",
1251,Baby Cream,Baby Care,Baby Bath & Hygiene,Himalaya Baby,214,260,Baby Creams & Lotions,4.3,"A Specially formulated soft cream for dry cheeks, tender noses, rubbed elbows and knees. Olive Oil improves Skin lustre, Country Mallow, an anti-oxidant, protects and soothes skin.",
1252,Vacuum Fried Jackfruit,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Phalyum,100,100,"Healthy, Baked Snacks",,"Vacuum Fried Jackfruit fried in low heat and low pressure, these health nuggets know how to pack a punch. This guilt-free snack will help you enjoy every bite. Indeed a good start to all your beginnings. Munch 'em up. Being rich in Vitamins B & C is not the only reason that will make you indulge in this bit of delight.",
1253,Namkeen - Congress,Snacks & Branded Foods,Snacks & Namkeen,Sanjay ,72,72,Namkeen & Savoury Snacks,3.7,Made with Roasted groundnut,
1254,Hand Wash - Orange Peel,Beauty & Hygiene,Bath & Hand Wash,50ap,99,99,Hand Wash & Sanitizers,4,"Perk up your senses with this light and uber lathering, Orange Peel handwash. It has a delightful, summery and just right to make your day tropical. This fresh, ultra lathering anti-bacterial & moisturising hand wash gently cleanses your skin, while the energising and delicious scent Orange peel smell so delightful that it uplifts your senses and leaves the skin feeling so clean and soft.",
1255,Bhujia Sev,Snacks & Branded Foods,Snacks & Namkeen,Haldirams ,140,140,Namkeen & Savoury Snacks,4.2,"EAN Code: 401772  Country of origin: India  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com",
1256,Planter Pot - Medium No 3 Brown,"Kitchen, Garden & Pets",Gardening,Ratan,110,110,"Pots, Planters & Trays",3.6,"Ratan Plasticware, an ISO 9001 - 2008 Certified Company, is a pioneer in household plastics. With presence in USA, UK, Europe, South & Central America, Asia, India and many more countries across the globe serving millions of satisfied customers it adheres to strict quality guidelines meeting international standards. All its products are made of BPA free virgin plastic using food grade material. Its range spreads across Food Storage Containers, Dust Bins, Storage Bins, Buckets, Basins, Laundry Baskets, Shopping Baskets, Waste Baskets, Trays, Jugs (Pitchers), Glasses, Plates, Bowls, Collanders, Pet Bowls, Stools, Tubs, Planters, Shoe Box, Juicer, Cutlery Holder, Strainer, etc.",
1257,Aluminium Large Round Mould - Assorted Colour,"Kitchen, Garden & Pets",Bakeware,HAZEL,379,759,Bakeware Accessories,1,"Ideal for the baker in you, who loves the perfection in recipes. Hazel has come with best quality aluminium moulds to add excellence to your baking interests. aluminium is the best material for baking, the construction allows for consistent, even heating and it has better heat conductivity than any other bakeware. The food-grade aluminium moulds are perfectly safe and healthy options for your homes. A durable and resistant to dents bakeware. It is easy to use and clean. The mould is large and round in shape and you can go from traditional to trendy. The versatility of shape is one of the beauties of the product. You__e guaranteed the perfect cake every time! A mould is a hassle-free option for your Multi-layered Cakes, Cheesecakes, Coffee Cakes, Frozen Desserts.",
1258,Apple Cider Vinegar With Mother,Gourmet & World Food,Oils & Vinegar,Nectar Valley,575,575,Balsamic & Cider Vinegar,,"Nectar Valley Apple Cider Vinegar with the mother, ingredients certified organic apple juice brewed to 4.8% acidity why you will love it made from the fermented cider of the best organic apples, a product of highest quality is born. Neither filtered nor pasteurized. Nectar valley organic apple cider vinegar with mother preservatives of all the beneficial properties of the mother, cloudy sediment that is responsible for stimulating the whole process of fermentation and is rich in natural enzymes, proteins and good-for-you bacteria. Mild and delicious, our apple cider vinegar with mother earns its keep in every home and pantry.",
1259,Sliced Jalapeno,Gourmet & World Food,Tinned & Processed Food,Tify,135,150,"Olive, Jalapeno, Gherkin",4.4,"Tify Sliced Jalapeno can be used in sauces, soups, general Cooking, add them to a burger or sandwich for that extra spicy flavour. Jalapeno has antioxidant properties and it helps to relieve headache.",
1260,Homemade  Seedless Amla Pickle - No Preservatives,Snacks & Branded Foods,Pickles & Chutney,Vaada,475,475,Other Veg Pickle,3.1,"Skillfully handcrafted to perfection and painstakingly cut into bite size pieces, Vaada Amla is Seedless homemade pickle with a healthy twist. It is a creative bridge between chutneys, sauces and condiments. It is prepared using choicest unblemished amla each individually checked for its quality. Freshly roasted and ground spices give it a unique taste. Cleanliness and strict hygiene is adhered to throughout the pickle making process. Premium quality fresh spices, Hing, Raw Apple Cider Vinegar, Rock Salt, Sesame seeds and an artful mixed sesame and mustard oils are used for their healing and digestive health benefits. Our pickle is naturally cultured and is free of any artificial preservatives. Our pickles urge you to be Bold, Creative, Modern while rooted in tradition in their boundlessness usage as a compliment to all cuisines.",
1261,Power 10 Formula Po Effector,Beauty & Hygiene,Skin Care,It's Skin,855,950,Face Care,,"It's Skin Power 10 Formula PO Effector! It is a weightless serum that can be proved as a saviour for people with oily skin. It regulates natural sebum production and controls the skin from getting oily and greasy. It helps in reducing blackheads and blemishes, giving a clean and clear skin.",
1262,"Tablet - Organic, Forskolin, Coleus, 450 mg, USDA Certified",Gourmet & World Food,Cooking & Baking Needs,Geo-Fresh,780,780,"Herbs, Seasonings & Rubs",,"Geo Fresh presents their healthy and nutritious range of organic Ayurvedic tablets which are packed with essential nutrients that are bound to boost your immunity, leave you energised and provide you with all the health benefits you need that require you to go on for a healthy living. Forskolin_is a herbal supplement which can be used as a natural remedy for treatment in cancer, obesity, glaucoma, allergies and asthma.",
1263,"Plastic Beaute Strainer - Decorative, Assorted Colour 1 pc 17 cm","Kitchen, Garden & Pets",Kitchen Accessories,All Time,60,65,"Strainer, Ladle, Spatula",3.7,"Straining is an everyday task in most kitchens, for which a tough, durable, easy-to-clean and maintain strainer is a necessity. All-Time Strainers are made of premium food-grade plastic that are elegant, tough and durable. Their innovative scoop design and handles with fissures prevent spillage while pouring and filtering. The strainer is a heavy duty which is suitable for both home and commercial use. They are resistant to rust and easy to store.",
1264,Freshly Baked - Plain Lavash,"Bakery, Cakes & Dairy",Bakery Snacks,Fresho Signature,99.45,130,Bread Sticks & Lavash,,Cherish the heavenly taste of these incredibly delicious Fresho Signature lavash. Every sensational bite of this artisanal handmade treat is sure to leave you craving for more.,
1265,"Organic Misri - Whole, Sugar/Sakkare Candy","Foodgrains, Oil & Masala",Organic Staples,bb Royal,90,99,"Organic Sugar, Jaggery",,"Misri Whole is big known for its sweet taste and distinctive features. The product is pure, natural and chemical-free with no impurities. Mishri has been used in various Ayurvedic medicines and proved to be effective against cough. It clears cough and soothes the oral cavity. It also loosens up mucus and provides quick relief. It is considered as medicinal sugar & includes natural honesty of minerals and vitamins therein sugarcane extract which hygienically filled.",
1266,Glass Dessert Bowl,"Kitchen, Garden & Pets",Crockery & Cutlery,DP,349,408,Glassware,4.1,"This glass bowl is suitable for serving sweets, dry fruits, munchies in it. It is composed using high-quality glass material which ensures to be strong, durable and sturdy. The minimalistic design ensures that the bowl can be kept in the middle of your dining table and be used for gifting purchase also.",
1267,Fields Of Gold - Red Rice,"Foodgrains, Oil & Masala",Dals & Pulses,PRISTINE,96.03,99,Cereals & Millets,4,Red Rice is the most referred rice in the ancient Ayurvedic text as Raktasali in Charaka and other Samhitas. It provides a variation to the meal. Pristine is a pioneer in manufacturing organic and nutritional products using a variety of diverse crops.,
1268,Disinfectant Floor Cleaner,Cleaning & Household,All Purpose Cleaners,Domex,235,280,Floor & Other Cleaners,3.9,"Domex Disinfectant Floor Cleaner kills all germs including bacteria, virus and fungi which live on the surfaces in your house thus, protecting your family against infection. It helps in keeping your home fresh, clean, and germ-free. This disinfecting floor cleaner contains Sodium Hypochlorite as recommended by Leading Health Organisations for disinfecting surfaces in-home and institutional facilities. The powerful bleach-based formula disinfects the floor and makes them safe. Domex Disinfectant Floor Cleaner can be used to clean ceramic tiles, floorings, and hard floors, leaving everything fresh and sparkling clean. It helps in removing tough stains on surfaces to make them look sparkling clean and kills germ safely. This disinfecting floor cleaner is suitable for daily use to keep your home clean, disinfected, and safe.
Domex Disinfectant Floor Cleaner is brought to you by Domex Masterbrand family which has been providing effective sanitation to people across the globe for nearly 100 years. Over the years, in over 35 countries globally, Domex has provided families with protection from harmful germs. Domex is committed to raising hygiene standards by improving general health and safety standards in communities around the world.",
1269,Argan Oil - Body Butter,Beauty & Hygiene,Bath & Hand Wash,XPEL,550,550,Shower Gel & Body Wash,2.7,"Argan Oil Body Butter Has Been Formulated To Smooth, Soften And Moisturize The Skin. The Rich Formula Combines A Blend Of Argan Oil, Shea Butter And Vitamin E. Imported From The Uk  For Beauty tips, tricks & more visit____ttps://bigbasket.blog/",
1270,Lemon and Active Salt Dishwash Cleaning Gel,Cleaning & Household,Detergents & Dishwash,Giffy,125,125,Dishwash Liquids & Pastes,5,"Giffy dishwash gel is packed with the benefits of 2 ingredients - Lemon and Active Salt. Giffy cleans 2X faster than ordinary dishwash liquids, as per independent lab study. The natural ingredients make it effective even on tough stains, but gentle on your hands. Washes off easily with no residue or white patches, leaving utensils with a fresh, clean smell.",
1271,Platinum Active-Shield Disinfectant Toilet Cleaner Liquid - Lavender,Cleaning & Household,All Purpose Cleaners,Harpic,99,99,Toilet Cleaners,4.3,"Harpic Platinum Active shield combines the powerful stain removal of Harpic with revolutionary stain-resistant technology that prevents stains from sticking by forming a protective non-stick layer and keeps your toilet cleaner for longer. Use the New Harpic platinum active-shield for a toilet that is not just clean, but also stays clean, for up to 100 flushes! Always use Harpic toilet cleaner separately. Do not mix with other products.",
1272,Coccinia - Sliced,Fruits & Vegetables,Fresh Vegetables,Fresho,23,28.75,Cut & Peeled Veggies,,"The flesh of Coccinia is crunchy with a mild bitter after taste. Mature ones taste even sweeter. The translucent white flesh with seeds embedded turns red on ripening. They are oval to elongated with thick and light green skin. We deliver them fresh and diced, making your preparations much easier and quicker because we value your time!",
1273,Eggs - White Leghorn,"Eggs, Meat & Fish",Eggs,Mpm,60,60,Farm Eggs,,"This is very fresh eggs collected from layer farms. These are very tender eggs. The hens are aged above 22 weeks only. They are fed normal proteins and calcium.These are one of nature's most wholesome and cost-effective foods. You can bake enjoyable cakes, cookies, scones etc. with eggs; try your hand over at family pasta as well. It is twisted boiled, sunny-side up, deviled or evened. The Indian method curry eggs can be finished in so many unique tasty ways. An egg can give you a health kick in no time at all! It is the ideal ingredient to add to your child's breakfast for growth and development. Eggs can be consumed in various ways like omelettes, boiled eggs, egg bhurji and in any of the dozen egg recipe.A rich source of protein, various vitamins and amino acids, it is one of the rare food items that contain diverse nutrients. Recent studies show that eggs can prevent strokes, heart diseases and also breast cancer. They promote healthy hair and nails now that is an incentive for every woman out there!You can have them for breakfast, lunch, dinner and even as in-between snacks. Doctors recommend having at least one egg every day.",
1274,Dranex Drain Cleaner,Cleaning & Household,All Purpose Cleaners,Kiwi,128,135,"Kitchen, Glass & Drain",4.3,"Cleans blocked drainpipes
Melts kitchen grease and hair",
1275,Chocolate Sprinkle,Gourmet & World Food,Cooking & Baking Needs,Puramate,67.5,75,"Baking, Cake Decorations",4.3,"Put the finishing touch on all of your fun and festive baked treats with these chocolate sprinkles! Perfect
for a consistent product that's sure to please you. Sprinkle these tiny, thin, rod-shaped confections into
your signature cookie batter, top a flavorful ice cream sundae, or use them to garnish frosted
cupcakes._Can also be sprinkled on cake pops, cookies, cakesicles and more.",
1276,XX3 Cologne Spray - For Men,Beauty & Hygiene,Men's Grooming,Engage,175,250,Men's Deodorants,4,"EAN Code: 8901725952204  Country of origin: India  Manufacturer Name & Address: ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071  Marketed by: ITC Ltd.  Virginia House  37 J.L. Nehru Road  Kolkata - 700 071  Best before __PSL__days from delivery date  For Queries/Feedback/Complaints, Contact our Customer Care Executive at:Phone:1860 123 1000 | Address:Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore-560016, Email:customerservice@bigbasket.com",
1277,Pickle - Fish,"Eggs, Meat & Fish",Fish & Seafood,Tasty Nibbles,225,225,Canned Seafood,,"Fish is a rich source of protein and Omega 3 fatty acids. The cleaned, marinated fish is cooked and pickled with spices and vinegar. The Fish Pickle is a great appetiser. Fish Pickle is processed with the know-how of CFTRI in a HACCP approved Factory.",
1278,Earl Grey Black Tea - Finest Tea Collection,Gourmet & World Food,Drinks & Beverages,Newby,505,505,Gourmet Tea & Tea Bags,,"A British classic and a royal favourite, Earl Grey takes its name from the eponymous Prime Minister who so loved the scent of bergamot and orange in smooth black tea. With sweet notes of citrus and a satisfyingly well-balanced flavour, Earl Grey is enjoyed at its best in Newby__ Silken Pyramids. Wrapped in multi-layer sachets for freshness, this whole leaf tea is presented in luxury packaging inspired by Newby founder Mr. Sethia__ collection of precious and regal antique tea wares. Each of 10 silken pyramids is specially sealed in triple layer alu-foil for freshness.",
1279,Walker Toffee N Pecan 150G,Gourmet & World Food,Chocolates & Biscuits,Walkers,279.2,349,"Cookies, Biscotti, Wafer",2.3,"These Luxury biscuits are baked in the secluded village of Aberlour, Speyside,in the heart of the Scottish Highlands.They are produced to a traditional recipe to which we have added liberal amounts of pecan nuts and toffee pieces.Walkers personally guarantee that this product is made using only the finest ingredients possible to obtain and contains no artificial colours, flavourings or preservatives.",
1280,"Anti Dandruff Conditioner - With Tea Tree & Ginger Oil, For Dandruff Free Hair",Beauty & Hygiene,Hair Care,Mamaearth,349,349,Shampoo & Conditioner,4.5,"Stimulate and renew your hair with an outlandish mix of Tea Tree and Ginger Oil that helps in reducing itch & irritation while contributing to the shine and smoothness of the hair and soothing dryness and itchiness. Mamaearth Tea Tree Conditioner is made using natural ingredients and makes sure that dandruff and excess oil are gently worked on & removed. Coconut oil present in the conditioner works like magic on dry and brittle scalp, making hair soft and smooth. Almond Oil nourishes and moisturises hair while adding shine. Ginger Oil contributes to the health of the hair and soothes dryness. Safe for coloured and chemically treated hair, this conditioner is free of harmful chemicals and toxins such as Silicones, Parabens, Mineral Oil, & Dyes.",
1281,Sunrise Extra Sachet,Beverages,Coffee,Nescafe ,680,680,Instant Coffee,4,"Nescafe_Sunrise Extra Sachet is a refreshing instant coffee. It is made with the blends of 70% coffee and 30% chicory that are slow-roasted to achieve the signature aroma. Awaken your mind and body with the intense taste and wonderfully refreshing aroma of this coffee. This coffee mix is an excellent way to kick start the day. It is easy to make without any hassle. Perfect for everyday use as a part of your balanced lifestyle. It does not contain any added preservatives, colour or artificial flavours.",
1282,Sugar Free Digestive Cookies - Natural Fig Biscotti,Gourmet & World Food,Chocolates & Biscuits,Sugarless Bliss,100,100,Crackers & Digestive,3.8,"Sugarless Bliss digestive cookies - natural fig biscotti are fortified with vitamins and minerals. It contain zero cholesterol, no trans fat and prebiotic. Suitable for diabetics and dieters.",
1283,Namkeen - Corn Mixture,Snacks & Branded Foods,Snacks & Namkeen,Sanjay ,65,65,Namkeen & Savoury Snacks,3.7,Made with Cornflakes & groundnuts,
